id,Name of Student,gender,dob,phone,English,Nepali,Social,Maths,Science,Optional Maths,Account
1,Madelene Crandon,Polygender,1/1/2017,358-510-4358,35,82,65,97,24,2,43
2,Butch Grob,Non-binary,10/4/2014,620-132-0790,89,84,16,99,48,40,29
3,Cesare Carey,Polygender,7/3/2002,987-678-0875,16,100,35,45,72,78,42
4,Gino Searston,Agender,9/8/2000,226-646-5355,72,7,24,34,18,18,48
5,Zena Aizik,Agender,2/27/2005,606-115-8162,4,79,56,85,34,41,45
6,Avie Jeanenet,Female,10/22/2005,488-947-0179,66,48,77,6,81,78,66
7,Giulia Klawi,Genderqueer,12/17/2016,136-283-0109,15,36,32,46,40,46,65
8,Levin Casse,Female,9/4/2010,193-508-4250,30,77,52,44,95,2,39
9,Boone Shalloo,Polygender,7/17/2003,828-461-5779,62,38,44,80,11,3,5
10,Alaine Stook,Agender,1/9/2012,107-439-1888,89,84,81,22,46,63,65
11,Sergei Seivertsen,Female,11/22/2002,373-604-7949,20,24,52,42,100,65,33
12,Romeo Osant,Bigender,11/30/2009,296-249-7012,48,46,99,25,68,23,28
13,Arthur Birkmyre,Genderfluid,8/6/2005,340-690-5362,80,9,20,22,74,37,99
14,Fifine Friese,Male,7/13/2014,596-679-5328,100,31,63,18,80,81,13
15,Winny Pennazzi,Genderfluid,8/21/2010,313-187-1664,9,5,2,13,26,38,39
16,Quint Phonix,Non-binary,5/1/2004,547-511-9001,80,62,51,62,96,69,18
17,Val Crucetti,Genderqueer,12/2/2015,428-280-6766,19,46,54,97,30,96,64
18,Fannie Barthod,Genderfluid,2/25/2001,771-990-3975,18,0,34,10,36,2,35
19,Mario Wratten,Genderfluid,3/21/2005,942-146-7342,16,35,39,80,85,68,78
20,Archibald Wing,Agender,8/30/2004,205-423-8546,12,33,26,80,9,26,80
21,Billye Gaddesby,Agender,6/30/2000,100-690-1724,10,30,10,4,25,54,50
22,Annissa Peschet,Male,9/6/2001,763-196-5644,28,62,24,34,71,35,45
23,Elladine Ealles,Non-binary,6/29/2012,640-359-5328,79,3,42,4,88,80,7
24,Jeffry Wadly,Non-binary,4/19/2014,846-181-9902,46,33,76,37,7,13,19
25,Sonja Linnemann,Genderqueer,9/1/2003,975-933-0520,46,89,81,90,73,4,56
